gene,samples_ge_min_count,retained
C1S,6,True
C1orf103,6,True
C1orf106,6,True
C1orf107,6,True
C1orf109,6,True
C1orf112,6,True
C1orf113,6,True
C1orf115,6,True
C1orf116,6,True
C1orf124,6,True
C1orf128,6,True
C1orf144,6,True
C1orf149,6,True
C1orf151,6,True
C1orf159,6,True
C1orf161,6,True
C1orf163,6,True
C1orf172,6,True
C1orf175,6,True
C1orf183,6,True
C1orf198,6,True
C1orf2,6,True
C1orf201,6,True
C1orf204,5,True
C1orf21,6,True
C1orf210,6,True
C1orf213,6,True
C1orf216,6,True
C1orf225,6,True
C1orf226,6,True
C1orf25,6,True
C1orf26,6,True
C1orf27,6,True
C1orf31,6,True
C1orf35,6,True
C1orf38,6,True
C1orf43,6,True
C1orf52,6,True
C1orf55,6,True
C1orf58,6,True
C1orf63,6,True
C1orf66,6,True
C1orf69,6,True
C1orf71,6,True
C1orf77,6,True
C1orf83,6,True
C1orf85,6,True
C1orf9,6,True
C1orf93,6,True
C1orf96,6,True
C2,6,True
C20orf108,6,True
C20orf11,6,True
C20orf111,6,True
C20orf112,6,True
C20orf117,6,True
C20orf151,6,True
C20orf177,6,True
C20orf194,6,True
C20orf199,6,True
C20orf20,6,True
C20orf24,6,True
C20orf27,6,True
C20orf29,6,True
C20orf3,6,True
C20orf4,6,True
C20orf43,6,True
C20orf59,6,True
C20orf7,6,True
C20orf72,6,True
C20orf74,6,True
C20orf82,5,True
C20orf94,6,True
C21orf2,6,True
C21orf33,6,True
C21orf45,6,True
C21orf58,6,True
C21orf59,6,True
C21orf66,6,True
C21orf91,6,True
C22orf13,6,True
C22orf25,6,True
C22orf28,6,True
C22orf29,6,True
C22orf30,6,True
C22orf32,6,True
C22orf40,6,True
C22orf9,6,True
C2CD2,6,True
C2CD2L,6,True
C2CD3,6,True
C2orf18,6,True
C2orf24,6,True
C2orf28,6,True
C2orf29,6,True
C2orf3,6,True
C2orf30,6,True
C2orf37,6,True
C2orf42,6,True
C2orf43,6,True
C2orf44,6,True
C2orf47,6,True
C2orf49,6,True
C2orf54,6,True
C2orf55,5,True
C2orf56,6,True
C2orf60,6,True
C2orf63,6,True
C2orf67,6,True
C2orf68,6,True
C2orf69,6,True
C3,6,True
C3orf1,6,True
C3orf10,6,True
C3orf17,6,True
C3orf19,6,True
C3orf23,6,True
C3orf31,6,True
C3orf37,6,True
C3orf39,6,True
C3orf52,6,True
C3orf54,6,True
C3orf58,6,True
C3orf59,6,True
C3orf60,6,True
C3orf62,6,True
C3orf63,6,True
C3orf64,6,True
C4orf14,6,True
C4orf15,6,True
C4orf16,6,True
C4orf18,6,True
C4orf21,6,True
C4orf23,6,True
C4orf30,6,True
C4orf31,4,True
C4orf32,6,True
C4orf34,6,True
C4orf41,6,True
C4orf42,6,True
C4orf43,6,True
C4orf46,6,True
C4orf8,6,True
C5AR1,6,True
C5orf15,6,True
C5orf22,6,True
C5orf24,6,True
C5orf28,6,True
C5orf32,6,True
C5orf33,6,True
C5orf37,6,True
C5orf4,6,True
C5orf41,6,True
C5orf42,6,True
C5orf43,6,True
C5orf44,6,True
C5orf51,6,True
C6orf106,6,True
C6orf108,6,True
C6orf114,6,True
C6orf120,6,True
C6orf134,6,True
C6orf136,6,True
C6orf142,4,True
C6orf145,6,True
C6orf150,6,True
C6orf153,6,True
C6orf162,6,True
C6orf167,6,True
C6orf170,6,True
C6orf190,5,True
C6orf192,6,True
C6orf204,6,True
C6orf211,6,True
C6orf47,6,True
C6orf48,6,True
C6orf64,6,True
C6orf70,6,True
C6orf89,6,True
C7,6,True
C7orf20,6,True
C7orf25,6,True
C7orf26,6,True
C7orf27,6,True
C7orf29,6,True
C7orf41,6,True
C7orf42,6,True
C7orf43,6,True
C7orf44,6,True
C7orf49,6,True
C7orf50,6,True
C7orf54,6,True
C7orf58,5,True
C7orf59,6,True
C7orf60,6,True
C7orf64,6,True
C8orf33,6,True
C8orf38,6,True
C8orf4,6,True
C8orf40,6,True
C8orf44,6,True
C8orf55,6,True
C8orf58,6,True
C8orf59,6,True
C8orf73,6,True
C8orf76,6,True
C8orf79,5,True
C8orf83,6,True
C9orf102,6,True
C9orf114,6,True
C9orf123,6,True
C9orf125,6,True
C9orf127,6,True
C9orf140,6,True
C9orf156,6,True
C9orf16,6,True
C9orf167,6,True
C9orf23,6,True
C9orf25,6,True
C9orf3,6,True
C9orf30,6,True
C9orf37,6,True
C9orf40,6,True
C9orf41,6,True
C9orf5,6,True
