gene,_genewise_converged,_MAP_converged,_LFC_converged,dispersions,model_converged
ANO10,True,True,True,0.12878131651852992,True
ANO2,True,True,True,0.2315540485021695,True
ANO6,True,True,True,0.13038484994026914,True
ANO8,True,True,True,0.12569676649186748,True
ANO9,True,True,True,0.1640872647500232,True
ANP32B,True,True,True,0.11202535996410058,True
ANP32E,True,True,True,0.13667037951961186,True
ANTXR1,True,True,True,0.11251301084908572,True
ANTXR2,True,True,True,0.1367958893322004,True
ANUBL1,True,True,True,0.29043422532111657,True
ANXA1,True,True,True,0.15837893909424444,True
ANXA11,True,True,True,0.13552274746974005,True
ANXA2,True,True,True,0.1487861693571481,True
ANXA2P2,True,True,True,0.14758770311017208,True
ANXA3,True,True,True,0.3119139490419283,True
ANXA4,True,True,True,0.11741178091824306,True
ANXA5,True,True,True,0.135731418085612,True
ANXA6,True,True,True,0.12592748475656282,True
ANXA7,True,True,True,0.12871041924165033,True
ANXA8L2,True,True,True,0.22224538764278073,True
ANXA9,True,True,True,0.24623284891464026,True
AOC3,True,True,True,0.15066300651689865,True
AOF1,True,True,True,0.12644427731510444,True
AOF2,True,True,True,0.11588447802185808,True
AOX1,True,True,True,0.3301989078359094,True
AP1B1,True,True,True,0.11246579708619517,True
AP1G1,True,True,True,0.10789940243951308,True
AP1G2,True,True,True,0.10991213926590988,True
AP1GBP1,True,True,True,0.14473306583542692,True
