gene,stat
C1orf113,2.4824269692507683
AARS,2.4822574220701648
LOC152217,2.47857347113015
CDK5R1,2.4784685014933086
CDC2,2.4770276710168697
FAM89A,2.4735285808548615
HMGB3,2.470771455123553
C8orf73,2.4706739903610773
ATAD2,2.4705096916562317
POP7,2.4656920628075123
STRAP,2.465157809880404
KRBA1,2.46324313892453
LASS6,2.4629284020808084
FANCA,2.462172571800141
PTMS,2.4610120254217547
FAM91A1,2.457919186336852
WNT5A,2.45304746791098
DTYMK,2.4520025060816164
GSTO1,2.451312755370578
UBXN7,2.4480001646531613
SCRN1,2.440685351766654
KCTD5,2.4382886034891063
CPSF4,2.42911237310229
BUB1B,2.4285945445341417
TMEM199,2.4273056059938254
C7orf27,2.423719452652277
NIP7,2.4203575387245646
ZNF655,2.4189586272818073
TPST2,2.418729183704079
BCAT1,2.418222998395806
XPOT,2.4180396139860485
SNORA39,2.417578567076585
LRRC58,2.4161462497465798
RPUSD1,2.414525439780805
NCBP2,2.412553377955373
TNC,2.412268114986142
CCNF,2.4111635851983797
JUB,2.404854782996125
ORMDL3,2.4015398345805017
ARHGAP11A,2.4006243618940313
TCEA1,2.400621708012616
PLAT,2.4004941277281735
DNAJB2,2.399629962357815
SDF2L1,2.3993201182252046
GNPNAT1,2.3987024381438893
ACTN1,2.39668635264822
C1orf106,2.3943090021756293
C8orf33,2.3934038684172934
PHLDA2,2.392035958809386
SH3BP1,2.3883323488140746
PSMC2,2.3880392771678016
CCDC86,2.386171758772899
PVT1,2.3811111157199103
HSPA2,2.38007125422935
COPS6,2.3799559593417206
DIAPH3,2.374829413334794
MREG,2.3708086621404614
ATP6V1C1,2.3678919585785483
RAD54L,2.366672355022343
MTBP,2.3639119827958863
RUVBL1,2.363600646832153
FN1,2.3628997720482205
PYCR2,2.362855950791113
PPFIA1,2.3623214469385094
SRC,2.362156921243271
CARD10,2.360760767471075
SHARPIN,2.3604086258283568
CAPN12,2.3575558872298488
KIF11,2.3573779367270156
TGIF2,2.3546891851345135
EBNA1BP2,2.3542210474766243
XDH,2.351316858962931
YEATS2,2.350600368694379
DIP2B,2.3504225432854247
ADAMTS14,2.3502633317964556
CTSH,2.34879676234901
MRPS23,2.348782638881168
FAM49B,2.348142631742046
HDGF,2.3473040978288053
SEPHS2,2.346570276752397
MIF,2.34118676578861
CCDC134,2.3405210722734093
C7orf49,2.3400306387247816
CENPE,2.3396190709367364
DNAJB11,2.338761738000118
EFHD2,2.338241448713818
PRPS2,2.3348016264167812
CALU,2.3292549279816996
TMSB10,2.3280494334107567
SLC9A1,2.3271896406996895
S100A6,2.3251426128348514
RIOK1,2.325062956892896
PARD6B,2.3244507137622854
EXT1,2.3191107462195983
FMNL2,2.3188329768114397
ATP1A1,2.3178584177877526
PLXNA3,2.3177896197812613
HN1L,2.311845116058845
AP2M1,2.311348849580137
ARF5,2.3108776024052076
FREQ,2.3072784780222553
HSF1,2.305761242598986
HJURP,2.3039196094268246
HN1,2.3032525304832814
TCFL5,2.2986009955333047
IRF6,2.29769316245019
GALNAC4S-6ST,2.2950482331498248
TTYH3,2.2928834814760495
ANKLE2,2.2928399502608245
TBL1XR1,2.292620879459772
RAB18,2.289057062702939
CYP51A1,2.287691306325453
PARP12,2.283912990549897
SLC25A17,2.282302399859211
CUX1,2.2819368746661826
FAM57A,2.281491556511115
PSMD11,2.2793572821583514
FKBP9,2.27890520194521
RFC5,2.2765073976328094
NAB2,2.274621916603405
LOC100131187,2.2731367572278454
FZD7,2.2722263686875848
NUF2,2.2705108910820933
SEC14L2,2.26962656480678
MRPS15,2.26697925588461
RCE1,2.2637166731681337
CKAP2L,2.2608777896897987
STEAP3,2.2604640860360323
GPR137B,2.2592231058052294
TP63,2.259096869867992
KIAA0196,2.2590594087027593
NIPA1,2.258411876295989
DUSP14,2.257878821777889
PEX13,2.2569493628312576
GNB5,2.2538266362623016
