gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,pvalue_model,model_converged,test_status,refseq,exons,direction
ABO,84.24906022623681,-2.320638707750786,0.5904511181238177,-3.9302808251506227,8.484670557644098e-05,0.0013884727239658705,8.484670557644098e-05,True,tested,NM_020469,7,down
KIAA1370,518.9630594404306,-1.8557998471276156,0.472685652294813,-3.926076110239448,8.634284491075794e-05,0.0014107588314656657,8.634284491075794e-05,True,tested,NM_019600,13,down
GPR110,58.38980907033334,-2.4795637770695804,0.6322053758265954,-3.9220858788611257,8.77856899286348e-05,0.0014321063018481945,8.77856899286348e-05,True,tested,NM_153840,15,down
EBF1,232.2723641697228,-1.925305886565211,0.4910417044684682,-3.9208602223496944,8.823343377174034e-05,0.001437179000319231,8.823343377174034e-05,True,tested,NM_024007,16,down
SORBS2,78.21013445343802,-2.2978860358219255,0.5888329092370163,-3.9024415921308218,9.522722170666365e-05,0.0015439154185960004,9.522722170666365e-05,True,tested,NM_003603,23,down
ANKRD6,140.78287631292008,-2.0005600577204037,0.5135426265455152,-3.895606624084387,9.795325860504485e-05,0.0015856655391442238,9.795325860504485e-05,True,tested,NM_014942,16,down
KAT2B,397.33916608665885,-1.7695544511570585,0.45466572914686115,-3.89198995595614,9.942536202852882e-05,0.0016070197745718829,9.942536202852882e-05,True,tested,NM_003884,18,down
SYNC,216.84377924428577,-2.1978966916289493,0.5657884118496727,-3.884661908227488,0.00010247238604234321,0.001653724865992101,0.00010247238604234321,True,tested,NM_030786,5,down
FAM171A1,156.73913956980985,-1.9838746372726788,0.5116664505857772,-3.8772810587863553,0.0001056303097255713,0.0016994671270702175,0.0001056303097255713,True,tested,NM_001010924,8,down
C10orf116,232.43812472601974,-2.0559549740897944,0.5317535867793428,-3.866367853843807,0.00011046827658751986,0.0017718774256923414,0.00011046827658751986,True,tested,NM_006829,3,down
SPRR2F,140.8577317499181,-2.3480104598005753,0.608610360609847,-3.857986343590658,0.00011432503410335652,0.0018309433053199141,0.00011432503410335652,True,tested,NM_001014450,2,down
TLR4,274.16391859619233,-2.215689130768568,0.57518999444461,-3.8520995708695964,0.00011710938218018792,0.0018669972218286106,0.00011710938218018792,True,tested,NR_024168,4,down
